Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
ssl5100	ssl5100	95697	95903	hypothetical protein	ssl5100	ssl5100
sll7027	sll7027	24925	25509	hypothetical protein	sll7027	sll7027
urtA	slr0447	2098921	2100261	urea ABC transporter substrate-binding protein	urtA	slr0447
sll0325	sll0325	2426297	2427787	hypothetical protein	sll0325	sll0325
hypB	sll1079	798846	799535	hydrogenase nickel incorporation protein HypB	hypA // hypB	sll1078 // sll1079
sll1509	sll1509	465232	465561	DUF565 domain-containing protein	sll1509	sll1509
ribH	sll1282	1094649	1095143	6,7-dimethyl-8-ribityllumazine synthase	ribH	sll1282
sll0283	sll0283	3024508	3025746	hypothetical protein	sll0283	sll0283
sll0832	sll0832	2838924	2839379	pre-16S rRNA-processing nuclease YqgF	sll0832 // sll0833	sll0832 // sll0833
sll5028	sll5028	30677	30988	hypothetical protein	sll5028	sll5028
larE	slr1717	1468153	1468959	ATP-dependent sacrificial sulfur transferase LarE	larE	slr1717
slr2019	slr2019	761482	763263	ABC transporter ATP-binding protein	slr2019	slr2019
ybeY	slr0053	2576285	2576824	rRNA maturation RNase YbeY	ybeY // ssr0109	slr0053 // ssr0109
slr1740	slr1740	1327367	1329115	peptide ABC transporter substrate-binding protein	slr1740	slr1740
sll0489	sll0489	2905482	2906510	ABC transporter ATP-binding protein	sll0489	sll0489
sll0154	sll0154	2337062	2338450	YvcK family protein	sll0154	sll0154
slr1218	slr1218	1018650	1019126	DUF4168 domain-containing protein	ureE // slr1218	slr1219 // slr1218
glgA	sll1393	57340	58815	glycogen synthase GlgA	glgA	sll1393
trpE	slr0738	127186	128712	anthranilate synthase component I	trpE	slr0738
sll1020	sll1020	396057	396941	glycosyltransferase family 2 protein	sll1020 // sll1021	sll1020 // sll1021
slr1336	slr1336	1723452	1724570	calcium/proton exchanger	slr1336	slr1336
SGL_RS14020	SGL_RS14020	2605870	2606073	hypothetical protein	proA2 // SGL_RS14020	sll0461 // SGL_RS14020
slr0943	slr0943	2007850	2008752	fructose bisphosphate aldolase	slr0943	slr0943
slr1435	slr1435	1058537	1059820	TldD/PmbA family protein	slr1435	slr1435
sll1018	sll1018	399275	400600	dihydroorotase	sll1018	sll1018
rpsK	sll1817	830194	830586	30S ribosomal protein S11	rpsM // rpsK	sll1816 // sll1817
SGL_RS18430	SGL_RS18430	3084421	3084585	YqaE/Pmp3 family membrane protein	SGL_RS18430	SGL_RS18430
slr0229	slr0229	2532823	2533695	NAD(P)-dependent oxidoreductase	slr0229	slr0229
psbO	sll0427	2086305	2087129	photosystem II manganese-stabilizing polypeptide	psbO	sll0427
slr0677	slr0677	415562	416245	MotA/TolQ/ExbB proton channel family protein	slr0677	slr0677
slr0438	slr0438	2555593	2555916	DUF3082 domain-containing protein	slr0438	slr0438
sll1377	sll1377	1836691	1838130	glycosyltransferase family 2 protein	sll1377	sll1377
slr0148	slr0148	2179537	2180019	2Fe-2S iron-sulfur cluster binding domain-containing protein	slr0148 // slr0147	slr0148 // slr0147
SGL_RS18635	SGL_RS18635	52260	53108	IS630 family transposase	SGL_RS18635	SGL_RS18635
sll0071	sll0071	2566142	2567143	glycosyltransferase	sll0071 // sll0072	sll0071 // sll0072
sll1664	sll1664	268789	269727	glycosyltransferase	sll1664	sll1664
sll1400	sll1400	48067	48408	DUF5615 family PIN-like protein	psb28 // sll1399 // ssl2733 // sll1400	sll1398 // sll1399 // ssl2733 // sll1400
slr0453	slr0453	3500761	3503178	phosphoketolase family protein	slr0453	slr0453
sll1722	sll1722	951797	953098	glycosyl transferase	sll1722 // sll1723 // sll1724	sll1722 // sll1723 // sll1724
ssl2971	ssl2971	2065509	2065808	hypothetical protein	ssl2971	ssl2971
slr2123	slr2123	1635746	1636702	phosphoglycerate dehydrogenase	slr2125 // slr2124 // slr2123 // slr2122 // slr2121 // slr2120	slr2125 // slr2124 // slr2123 // slr2122 // slr2121 // slr2120
sll1025	sll1025	389175	390353	FAD-binding oxidoreductase	ssl1972 // sll1025	ssl1972 // sll1025
ssr2786	ssr2786	3477551	3477754	hypothetical protein	ssr2786	ssr2786
slr0593	slr0593	3548402	3549706	cyclic nucleotide-binding domain-containing protein	slr0593	slr0593
slr1870	slr1870	1214188	1214937	NYN domain-containing protein	slr1870	slr1870
mutS2	sll1772	1217156	1219624	endonuclease MutS2	sll1771 // mutS2	sll1771 // sll1772
sll1869	sll1869	1814231	1815304	aromatic ring-hydroxylating dioxygenase subunit alpha	sll1869 // sll1870	sll1869 // sll1870
sll5041	sll5041	39663	40259	IS256 family transposase	sll5041	sll5041
SGL_RS06155	SGL_RS06155	914542	914796	hypothetical protein	sll1965 // SGL_RS06155	sll1965 // SGL_RS06155
sfsA	sll2014	1253269	1253982	DNA/RNA nuclease SfsA	sfsA	sll2014
slr1097	slr1097	194310	194801	CRR6 family NdhI maturation factor	slr1097 // lpdA	slr1097 // slr1096
sll0982	sll0982	668776	669162	Uncharacterized thylakoid-associated protein sll0982	sll0982	sll0982
lipA	slr1598	462809	463678	lipoyl synthase	lipA	slr1598
leuA	slr0186	2338636	2340237	2-isopropylmalate synthase	leuA	slr0186
slr0634	slr0634	2655459	2656037	DUF3782 domain-containing protein	slr0634	slr0634
cphA	slr2002	1448060	1450681	cyanophycin synthetase	slr2003 // cphA // cphB	slr2003 // slr2002 // slr2001
sll0875	sll0875	1132914	1133690	TIGR00297 family protein	sll0875 // ruvA	sll0875 // sll0876
urtC	slr1201	883287	884519	urea ABC transporter permease subunit UrtC	urtC	slr1201
sll0034	sll0034	3161899	3162675	D-alanyl-D-alanine carboxypeptidase family protein	sll0034	sll0034
sll0525	sll0525	3262064	3262459	type II toxin-antitoxin system VapC family toxin	ssl1004 // sll0525	ssl1004 // sll0525
slr0109	slr0109	2986238	2987194	mechanosensitive ion channel family protein	slr0109 // slr0108 // ST6803t36	slr0109 // slr0108 // ST6803t36
slr0851	slr0851	1337299	1338636	NAD(P)/FAD-dependent oxidoreductase	slr0851	slr0851
slr0594	slr0594	3551159	3552382	FtsX-like permease family protein	slr0594	slr0594
hypD	slr1498	54533	55657	hydrogenase formation protein HypD	hypD	slr1498
ribA	sll1894	1768748	1770418	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase RibB/GTP cyclohydrolase II RibA	ribA	sll1894
sll1254	sll1254	1730166	1731206	HlyC/CorC family transporter	sll1254	sll1254
sll1687	sll1687	1306436	1309348	diguanylate cyclase	sll1687	sll1687
ssr2130	ssr2130	1884739	1884927	hypothetical protein	ssr2130	ssr2130
sll1683	sll1683	234905	236356	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	ald // sll1683	sll1682 // sll1683
tsaE	sll0257	2133549	2134022	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE	sll0257
dnaK	sll0170	2312664	2314574	molecular chaperone DnaK	dnaK	sll0170
SGL_RS18940	SGL_RS18940	2138496	2138621	DUF433 domain-containing protein	SGL_RS18940	SGL_RS18940
holA	sll0544	2813654	2814655	DNA polymerase III subunit delta	holA // sll0545	sll0544 // sll0545
sll1447	sll1447	1888398	1888778	DUF4359 domain-containing protein	sll1446 // sll1447	sll1446 // sll1447
atpH	sll1325	174586	175143	ATP synthase F1, &delta; subunit	sll1323 // atpF // atpH // atpA // atpG	sll1323 // sll1324 // sll1325 // sll1326 // sll1327
slr1044	slr1044	492130	494739	HAMP domain-containing protein	slr1044	slr1044
ssr0693	ssr0693	2696549	2696836	hypothetical protein	ssr0693	ssr0693
sll1537	sll1537	2038644	2039063	NUDIX domain-containing protein	sll1537	sll1537
sll1330	sll1330	3294498	3295250	response regulator transcription factor	sll1330	sll1330
psbA	slr1311	7229	8311	photosystem II q(b) protein	psbA	slr1311
SGL_RS18860	SGL_RS18860	1626165	1627012	IS630 family transposase	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860
slr6065	slr6065	59969	60997	metal-dependent hydrolase	slr6065 // slr6064	slr6065 // slr6064
sll6060	sll6060	57133	57666	N-acetyltransferase	sll6060	sll6060
ssr3467	ssr3467	586858	587145	hypothetical protein	ssr3467	ssr3467
slr7101	slr7101	98473	99015	hypothetical protein	slr7101 // slr7100	slr7101 // slr7100
ST6803t37	ST6803t37	3224057	3224138	tRNA-Tyr	ST6803t38 // ST6803t37	ST6803t38 // ST6803t37
slr1759	slr1759	533086	537474	response regulator	slr1761 // slr1760 // slr1759	slr1761 // slr1760 // slr1759
sll0597	sll0597	2941756	2942883	AI-2E family transporter	sll0597	sll0597
sll1041	sll1041	185772	186554	ABC transporter ATP-binding protein	sll1041	sll1041
ssr3410	ssr3410	751671	751967	monovalent cation/H(+) antiporter subunit G	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009
sll0702	sll0702	119570	119962	hypothetical protein	sll0702 // sll0703	sll0702 // sll0703
sll1710	sll1710	1275372	1276157	IS5 family transposase	sll1710	sll1710
slr0370	slr0370	2369282	2370646	NAD-dependent succinate-semialdehyde dehydrogenase	slr0370	slr0370
slr0093	slr0093	2900980	2901978	DnaJ domain-containing protein	slr0095 // slr0093	slr0095 // slr0093
sll1315	sll1315	1167961	1169019	hypothetical protein	sll1315	sll1315
petE	sll0199	2525827	2526207	plastocyanin	petE	sll0199
folP	slr2026	771651	772520	dihydropteroate synthase	slr2027 // folP	slr2027 // slr2026
sll5049	sll5049	46945	48288	oligosaccharide flippase family protein	sll5050 // sll5049 // sll5048 // sll5047	sll5050 // sll5049 // sll5048 // sll5047
slr1830	slr1830	933157	934293	class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC	slr1830	slr1830
sll0068	sll0068	2569772	2573491	NACHT domain-containing protein	sll0068 // sll0069	sll0068 // sll0069
sll0169	sll0169	2314780	2316924	DUF4101 domain-containing protein	sll0169	sll0169
sll1940	sll1940	581052	581525	peptidase	sll1939 // sll1940	sll1939 // sll1940
kaiB	slr0757	3434388	3434705	circadian clock protein KaiB	kaiC // kaiB	slr0758 // slr0757
sll7085	sll7085	80203	81933	hypothetical protein	sll7085	sll7085
slr0651	slr0651	3318829	3319212	DUF4346 domain-containing protein	slr0651	slr0651
slr5016	slr5016	21843	23219	HTH cro/C1-type domain-containing protein	ssr5019 // slr5018 // slr5017 // slr5016	ssr5019 // slr5018 // slr5017 // slr5016
bchD	slr1777	232008	234038	magnesium chelatase ATPase subunit D	bchD	slr1777
slr1227	slr1227	1031202	1033787	BamA/TamA family outer membrane protein	slr1227	slr1227
pyrC	slr0406	2157442	2158470	dihydroorotase	pyrC	slr0406
sll1915	sll1915	770930	771481	hypothetical protein	sll1915 // nadD // sll1917	sll1915 // sll1916 // sll1917
map	slr0786	3042789	3043613	type I methionyl aminopeptidase	map	slr0786
glyS	slr0220	2513806	2515974	glycine--tRNA ligase subunit beta	glyS	slr0220
sll0563	sll0563	3561162	3561794	hypothetical protein	sll0563	sll0563
sll5052	sll5052	50111	52333	AAA family ATPase	sll5052	sll5052
slr0869	slr0869	1367129	1369567	dynamin-like GTPase family protein	slr0869	slr0869
ftsH2	slr0228	2529009	2530892	ATP-dependent zinc metalloprotease FtsH	ftsH2	slr0228
ndhI	sll0520	3268386	3268967	NAD(P)H-quinone oxidoreductase subunit I	ndhI // sll0521 // nuoK	sll0520 // sll0521 // sll0522
sll0514	sll0514	3186379	3188043	MBL fold metallo-hydrolase	sll0514	sll0514
egtC	slr0199	2730649	2731563	ergothioneine biosynthesis protein EgtC	egtC	slr0199
slr0358	slr0358	2458253	2459377	hypothetical protein	slr0358	slr0358
sll1053	sll1053	82291	83853	efflux RND transporter periplasmic adaptor subunit	sll1053 // sll1054	sll1053 // sll1054
dnaK	sll1932	600942	603257	molecular chaperone DnaK	dnaK	sll1932
slr1911	slr1911	614841	615269	hypothetical protein	slr1911 // slr1910	slr1911 // slr1910
SGL_RS18675	SGL_RS18675	383300	383794	hypothetical protein	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765
slr0482	slr0482	2616624	2617382	methyltransferase domain-containing protein	slr0482 // slr0480 // slr0479 // slr0477	slr0482 // slr0480 // slr0479 // slr0477
hisD	slr1848	555642	556946	histidinol dehydrogenase	hisD // slr1847	slr1848 // slr1847
accA	sll0728	3425538	3426518	acetyl-CoA carboxylase carboxyl transferase subunit alpha	accA // sll0729 // ssl1378	sll0728 // sll0729 // ssl1378
sll0743	sll0743	3127364	3127846	DUF29 domain-containing protein	sll0742 // sll0743 // sll0744	sll0742 // sll0743 // sll0744
ssr2016	ssr2016	890827	891024	hypothetical protein	ssr2016	ssr2016
slr1673	slr1673	1953791	1954615	RNA methyltransferase	slr1673 // glpK	slr1673 // slr1672
SGL_RS18720	SGL_RS18720	851717	852447	IS1 family transposase	SGL_RS18720	SGL_RS18720
SGL_RS19040	SGL_RS19040	2622526	2622981	hypothetical protein	slr0492 // slr0491 // SGL_RS19040	slr0492 // slr0491 // SGL_RS19040
slr1956	slr1956	1754634	1755152	tetratricopeptide repeat protein	slr1956	slr1956
ssl1918	ssl1918	523821	524093	hypothetical protein	ssl1918 // sll1001	ssl1918 // sll1001
slr0574	slr0574	2817862	2819196	cytochrome P450	slr0574	slr0574
sll1283	sll1283	711608	712783	SpoIID/LytB domain-containing protein	sll1283 // sll1284 // cofG	sll1283 // sll1284 // sll1285
slr0772	slr0772	2395103	2396629	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B	slr0772	slr0772
slr1457	slr1457	3303481	3304680	chromate transporter	slr1457	slr1457
slr0064	slr0064	2591953	2593107	RNA methyltransferase	slr0064	slr0064
slr0513	slr0513	2924779	2925819	Fe(3+) ABC transporter substrate-binding protein	slr0513	slr0513
slr0554	slr0554	3254560	3257670	DUF3854 domain-containing protein	slr0554	slr0554
sll7033	sll7033	30699	31040	DUF5615 family PIN-like protein	sll7034 // sll7033	sll7034 // sll7033
slr1406	slr1406	1181064	1181609	heme-binding protein	slr1406	slr1406
slr1619	slr1619	364247	364996	cephalosporin hydroxylase	slr1619 // slr1618 // slr1617 // slr1616 // slr1615	slr1619 // slr1618 // slr1617 // slr1616 // slr1615
sll1274	sll1274	1105030	1105545	TIGR02652 family protein	sll1274	sll1274
pntA	slr1239	1053955	1055547	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	pntB // ssr2067 // SGL_RS06830 // slr1241 // slr1240 // pntA	slr1434 // ssr2067 // SGL_RS06830 // slr1241 // slr1240 // slr1239
slr1173	slr1173	1942923	1944314	DUF2330 domain-containing protein	slr1173	slr1173
slr2071	slr2071	907990	908313	hypothetical protein	slr2071	slr2071
aqpZ	slr2057	1412923	1413666	aquaporin Z	aqpZ	slr2057
SGL_RS19115	SGL_RS19115	3109733	3110560	IS5 family transposase	SGL_RS19115	SGL_RS19115
sll0189	sll0189	2720250	2720702	YraN family protein	sll0188 // sll0189	sll0188 // sll0189
slr1980	slr1980	1801787	1802680	hypothetical protein	slr1980 // slr1979	slr1980 // slr1979
slr1280	slr1280	1875563	1876309	NADH-quinone oxidoreductase subunit B	ndhJ // slr1280	slr1281 // slr1280
slr1876	slr1876	1227090	1227563	hydrogenase maturation protease	slr1876	slr1876
sll8009	sll8009	6652	8619	SAM-dependent DNA methyltransferase	sll8009	sll8009
slr1440	slr1440	1069178	1069609	glyoxalase	slr1440	slr1440
sll0601	sll0601	2676937	2677755	carbon-nitrogen hydrolase family protein	sll0601	sll0601
slr0285	slr0285	2124176	2124973	radical SAM protein	slr0286 // slr0285	slr0286 // slr0285
slr5110	slr5110	102741	103151	helix-turn-helix domain-containing protein	slr5110	slr5110
sll1757	sll1757	1241313	1242191	hypothetical protein	sll1757	sll1757
slr1727	slr1727	1488843	1490426	Na+/H+ antiporter	slr1727	slr1727
rdgB	slr0402	2151606	2152190	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB	slr0402
sll0446	sll0446	3486693	3489911	hypothetical protein	sll0446	sll0446
slr0949	slr0949	2017104	2017964	branched-chain amino acid ABC transporter permease	slr0950 // slr0949	slr0950 // slr0949
sll0063	sll0063	2580710	2581897	AI-2E family transporter	sll0063	sll0063
slr1914	slr1914	616822	617178	hypothetical protein	slr1914 // slr1913	slr1914 // slr1913
sll1286	sll1286	705307	706017	TetR/AcrR family transcriptional regulator	sll1286	sll1286
sll0625	sll0625	3341166	3341843	class I SAM-dependent methyltransferase	sll0624 // SGL_RS17320 // sll0625	sll0624 // SGL_RS17320 // sll0625
slr0728	slr0728	113025	114188	O-antigen ligase family protein	slr0728	slr0728
slr1575	slr1575	3384151	3385590	mechanosensitive ion channel	slr1575	slr1575
slr1622	slr1622	2034294	2034803	inorganic diphosphatase	slr1622	slr1622
slr1735	slr1735	1317712	1318470	amino acid ABC transporter ATP-binding protein	slr1735	slr1735
slr0864	slr0864	1360434	1362158	ABC-F family ATP-binding cassette domain-containing protein	slr0864	slr0864
pstA	slr1249	1391050	1391922	phosphate ABC transporter permease PstA	pstB // pstA // pstC // pstS	slr1250 // slr1249 // slr1248 // slr1247
ST6803t11	ST6803t11	1082298	1082371	tRNA-Met	ST6803t11	ST6803t11
slr0007	slr0007	2476020	2476781	NTP transferase domain-containing protein	slr0007	slr0007
desA	slr1350	1746308	1747363	delta(12)-fatty-acid desaturase	desA	slr1350
SGL_RS06400	SGL_RS06400	968893	969129	hypothetical protein	SGL_RS06400 // sll1715	SGL_RS06400 // sll1715
slr0948	slr0948	2013538	2014185	cofactor assembly of complex C subunit B	slr0948	slr0948
sll0162	sll0162	2325045	2325629	TIGR04376 family protein	sll0162	sll0162
sll1102	sll1102	1914113	1914652	TRAP transporter small permease subunit	sll1102 // sll1103 // sll1104	sll1102 // sll1103 // sll1104
sll0537	sll0537	3241089	3242714	ammonium transporter	sll0536 // sll0537	sll0536 // sll0537
sll1895	sll1895	1764835	1766925	EAL domain-containing protein	sll1895	sll1895
sll0008	sll0008	2493033	2493542	hypothetical protein	sll0007 // sll0008	sll0007 // sll0008
SGL_RS18575	SGL_RS18575	41056	41903	IS630 family transposase	SGL_RS18575	SGL_RS18575
ssr2912	ssr2912	1496859	1497116	potassium-transporting ATPase subunit F	ssr2912 // kdpB // kdpA	ssr2912 // slr1729 // slr1728
slr0069	slr0069	2599315	2599974	hypothetical protein	slr0069	slr0069
slr1522	slr1522	1614572	1615648	IS701-like element IS4Sa2 family transposase	slr1522	slr1522
slr1325	slr1325	1656043	1658325	RelA/SpoT family protein	slr1325	slr1325
slr1748	slr1748	1011975	1012619	histidine phosphatase family protein	slr1748	slr1748
ssr6002	ssr6002	3505	3753	hypothetical protein	ssr6002	ssr6002
psb28	sll1398	49893	50231	photosystem II reaction center protein Psb28	psb28 // sll1399 // ssl2733 // sll1400	sll1398 // sll1399 // ssl2733 // sll1400
slr6090	slr6090	82675	86385	hypothetical protein	SGL_RS19330 // SGL_RS18615 // slr6090	SGL_RS19330 // SGL_RS18615 // slr6090
thiS	ssr0102	2564175	2564390	thiamine biosynthesis protein ThiS	thiS // slr0049	ssr0102 // slr0049
slr0333	slr0333	2289704	2290024	SH3 domain-containing protein	slr0333	slr0333
slr1206	slr1206	888358	888993	DUF1997 domain-containing protein	slr1206	slr1206
hppD	slr0090	2897634	2898653	4-hydroxyphenylpyruvate dioxygenase	hppD // slr0089	slr0090 // slr0089
slr1095	slr1095	192136	192783	Uma2 family endonuclease	slr1095	slr1095
gmhA	sll0083	2879965	2880549	D-sedoheptulose 7-phosphate isomerase	gmhA	sll0083
slr6016	slr6016	18098	20500	hypothetical protein	slr6016 // slr6015 // slr6014 // slr6013	slr6016 // slr6015 // slr6014 // slr6013
sll1761	sll1761	1234509	1235123	DUF922 domain-containing Zn-dependent protease	thrB // sll1761	sll1760 // sll1761
sll0614	sll0614	2651440	2651838	DUF4253 domain-containing protein	ruvB // sll0614	sll0613 // sll0614
sll0100	sll0100	2981009	2982190	amidohydrolase	sll0100	sll0100
deoC	sll1776	1208020	1208697	deoxyribose-phosphate aldolase	deoC	sll1776
slr0700	slr0700	3089656	3091014	APC family permease	slr0700	slr0700
slr0361	slr0361	2345797	2346546	rRNA pseudouridine synthase	slr0362 // slr0361 // slr0360	slr0362 // slr0361 // slr0360
slr1113	slr1113	60524	61522	ABC transporter ATP-binding protein	slr1113	slr1113
slr0386	slr0386	2390216	2391454	SGNH/GDSL hydrolase family protein	slr0386	slr0386
gshA	slr0990	2258074	2259243	glutamate--cysteine ligase	gshA	slr0990
SGL_RS15990	SGL_RS15990	3039310	3039597	hypothetical protein	SGL_RS15990	SGL_RS15990
ssr3129	ssr3129	563105	563290	hypothetical protein	ssr3129	ssr3129
ST6803t15	ST6803t15	1552985	1553058	tRNA-Pro	ST6803t15	ST6803t15
psbC	sll0851	1347474	1348856	photosystem II reaction center protein CP43	psbD // psbC	sll0849 // sll0851
slr0304	slr0304	3018204	3019214	radical SAM/Cys-rich domain protein	slr0304	slr0304
ssl0350	ssl0350	2738712	2738915	type II toxin-antitoxin system HicB family antitoxin	sll0180 // SGL_RS14650 // ssl0350	sll0180 // SGL_RS14650 // ssl0350
SGL_RS18855	SGL_RS18855	1623723	1624571	IS630 family transposase	SGL_RS18855 // sll1999	SGL_RS18855 // sll1999
purH	slr0597	3553977	3555512	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	slr0597
slr6101	slr6101	94281	94700	transcriptional regulator	slr6103 // slr6102 // slr6101	slr6103 // slr6102 // slr6101
sll1709	sll1709	1276236	1276982	SDR family oxidoreductase	sll1709	sll1709
sll1533	sll1533	2045078	2046364	type IV pilus twitching motility protein PilT	sll1533 // sll1534	sll1533 // sll1534
apt	sll1430	1578725	1579243	adenine phosphoribosyltransferase	apt	sll1430
sll1170	sll1170	1878099	1879682	diguanylate cyclase	sll1170	sll1170
slr1365	slr1365	1108314	1108967	biotin transporter BioY	lspA // slr1365 // bioB	slr1366 // slr1365 // slr1364
lepB	slr1377	672291	672947	signal peptidase I	slr1378 // lepB	slr1378 // slr1377
slr6108	slr6108	102911	103720	hypothetical protein	slr6108	slr6108
sll0639	sll0639	439184	440437	bifunctional oligoribonuclease/PAP phosphatase NrnA	sll0639	sll0639
sll1107	sll1107	3530979	3531755	ABC transporter permease	sll1107	sll1107
sll0260	sll0260	2126243	2127589	HlyC/CorC family transporter	sll0260	sll0260
slr1552	slr1552	999029	1001563	hypothetical protein	slr1552	slr1552
infC	slr0974	343026	343559	translation initiation factor IF-3	infC	slr0974
sll1483	sll1483	3391645	3392187	fasciclin domain-containing protein	sll1483	sll1483
rrf	ST6803r01	2448648	2448765	5S ribosomal RNA	rrf	ST6803r01
sll1439	sll1439	1898437	1899240	hypothetical protein	SGL_RS10845 // sll1439	SGL_RS10845 // sll1439
slr0915	slr0915	2791074	2791526	endonuclease	slr0915	slr0915
slr0506	slr0506	2914828	2915796	protochlorophyllide oxidoreductase	slr0506	slr0506
slr2084	slr2084	1543036	1543701	Uma2 family endonuclease	slr2084	slr2084
slr5101	slr5101	96124	96561	hypothetical protein	slr5102 // slr5101	slr5102 // slr5101
ruvC	sll0896	3238365	3238868	crossover junction endodeoxyribonuclease RuvC	sll0895 // ruvC	sll0895 // sll0896
sll2006	sll2006	1263823	1264179	hypothetical protein	sll2006 // sll2007	sll2006 // sll2007
rnpB	SGL_RS18395	153167	153599	RNase P RNA component class A	slr0249 // rnpB	slr0249 // rnpB
slr7099	slr7099	96348	96938	hypothetical protein	slr7099	slr7099
ssl6077	ssl6077	76272	76487	hypothetical protein	ssl6077	ssl6077
slr6013	slr6013	13483	15039	DUF2357 domain-containing protein	slr6016 // slr6015 // slr6014 // slr6013	slr6016 // slr6015 // slr6014 // slr6013
sll6054	sll6054	53398	53781	hypothetical protein	sll6055 // sll6054 // sll6053	sll6055 // sll6054 // sll6053
slr8029	slr8029	24295	24861	recombinase family protein	slr8029	slr8029
sll0993	sll0993	639516	640613	potassium channel protein	sll0993 // sll0994	sll0993 // sll0994
slr2037	slr2037	574562	575464	hypothetical protein	slr2038 // slr2037	slr2038 // slr2037
SGL_RS19215	SGL_RS19215	1702300	1703319	transposase	SGL_RS19215	SGL_RS19215
sll1606	sll1606	1469013	1469801	YdcF family protein	sll1606	sll1606
sll0944	sll0944	2266850	2267188	DUF1830 domain-containing protein	sll0944	sll0944
slr1066	slr1066	370285	371490	glycosyltransferase family 4 protein	galE // slr1066	slr1067 // slr1066
sll1294	sll1294	687391	690252	HAMP domain-containing protein	sll1294	sll1294
urtE	sll0374	2708257	2708958	urea ABC transporter ATP-binding subunit UrtE	urtE	sll0374
hisB	slr0500	2906797	2907429	imidazoleglycerol-phosphate dehydratase HisB	hisB	slr0500
SGL_RS14355	SGL_RS14355	2676207	2676389	hypothetical protein	SGL_RS14355	SGL_RS14355
ureE	slr1219	1019155	1019583	urease accessory protein UreE	ureE // slr1218	slr1219 // slr1218
tilS	slr1278	1872656	1873648	tRNA lysidine(34) synthetase TilS	tilS	slr1278
slr1818	slr1818	1299120	1299725	hypothetical protein	slr1818	slr1818
slr1682	slr1682	1970695	1970988	Transposase	slr1682	slr1682
slr0922	slr0922	2797422	2798006	aminoacyl-tRNA hydrolase	slr0922 // SGL_RS14895	slr0922 // SGL_RS14895
sll1336	sll1336	3285051	3287168	TIGR00300 family protein	sll1336	sll1336
sll1541	sll1541	2031001	2032473	carotenoid oxygenase family protein	sll1541	sll1541
slr1912	slr1912	615968	616324	anti-sigma factor antagonist	slr1912	slr1912
slr0193	slr0193	2724648	2725103	RNA-binding protein	slr0193	slr0193
sll0676	sll0676	3095044	3095586	DUF4334 domain-containing protein	sll0676	sll0676
slr5055	slr5055	54119	54910	WecB/TagA/CpsF family glycosyltransferase	slr5056 // slr5055	slr5056 // slr5055
slr0436	slr0436	2550753	2551646	carbon dioxide-concentrating mechanism protein	slr0436	slr0436
SGL_RS18735	SGL_RS18735	969185	969337	type II toxin-antitoxin system PemK/MazF family toxin	SGL_RS18735	SGL_RS18735
slr0919	slr0919	2793926	2794381	thiol-disulfide oxidoreductase DCC family protein	slr0919 // map	slr0919 // slr0918
slr5077	slr5077	75147	75929	Rpn family recombination-promoting nuclease/putative transposase	slr5077	slr5077
sll8006	sll8006	4652	6046	restriction endonuclease subunit S	ssl8008 // sll8007 // sll8006 // ssl8005	ssl8008 // sll8007 // sll8006 // ssl8005
fba	sll0018	2470591	2471670	fructose-bisphosphate aldolase class II	fba	sll0018
sll1985	sll1985	1553601	1553903	IS701 family transposase	SGL_RS18830 // sll1985	SGL_RS18830 // sll1985
sll1752	sll1752	553297	554019	1-acyl-sn-glycerol-3-phosphate acyltransferase	sll1752	sll1752
sll1734	sll1734	935409	936704	CO2 hydration protein	sll1734	sll1734
rsmA	sll0708	107471	108325	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	rsmA	sll0708
ssl2667	ssl2667	3317363	3317593	NifU family protein	ssl2667	ssl2667
slr0079	slr0079	2881378	2883819	type II/IV secretion system protein	slr0079	slr0079
slr1635	slr1635	2048497	2049513	IS4-like element IS4Sa family transposase	slr1635	slr1635
sll0369	sll0369	2716735	2717163	hypothetical protein	pyrR // sll0369	sll0368 // sll0369
ssl0410	ssl0410	156741	157013	hypothetical protein	ndhB // ssl0410	sll0223 // ssl0410
rpsT	ssl2233	861873	862166	30S ribosomal protein S20	rpsT	ssl2233
aat	sll0869	1149471	1150067	leucyl/phenylalanyl-tRNA--protein transferase	aat	sll0869
