# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "ERX3440931_cds.txt" "ERX3440931.bam" 
Geneid	Chr	Start	End	Strand	Length	ERX3440931.bam
BSU_10550	AL009126.3	1128286	1129611	-	1326	10
BSU_10560	AL009126.3	1129715	1130704	+	990	472
BSU_10570	AL009126.3	1130918	1132072	-	1155	54
BSU_10580	AL009126.3	1132179	1133384	-	1206	3
BSU_10590	AL009126.3	1133498	1135225	+	1728	33
BSU_10600	AL009126.3	1135255	1135581	-	327	20
BSU_10610	AL009126.3	1135699	1136136	-	438	143
BSU_10620	AL009126.3	1136320	1139820	+	3501	99
BSU_10630	AL009126.3	1139807	1143505	+	3699	178
BSU_10640	AL009126.3	1143577	1144752	+	1176	19
BSU_10650	AL009126.3	1144749	1148141	+	3393	764
BSU_10660	AL009126.3	1148155	1148457	+	303	84
BSU_10670	AL009126.3	1148494	1148712	-	219	191
BSU_10680	AL009126.3	1148744	1149145	-	402	125
BSU_10690	AL009126.3	1149145	1149321	-	177	59
BSU_10700	AL009126.3	1149318	1149935	-	618	349
BSU_10710	AL009126.3	1149958	1150191	-	234	39
BSU_10720	AL009126.3	1150206	1150427	-	222	64
BSU_10730	AL009126.3	1150850	1151020	-	171	96
BSU_10740	AL009126.3	1151166	1152089	-	924	11
BSU_10750	AL009126.3	1152244	1153149	+	906	407
BSU_10760	AL009126.3	1153265	1153621	+	357	57
BSU_10770	AL009126.3	1153789	1156473	+	2685	275
BSU_10780	AL009126.3	1156504	1157091	-	588	212
BSU_10790	AL009126.3	1157237	1159081	+	1845	3681
BSU_10800	AL009126.3	1159211	1159690	-	480	176
BSU_10810	AL009126.3	1159922	1160746	+	825	35
BSU_10820	AL009126.3	1160776	1162143	-	1368	6
BSU_10830	AL009126.3	1162267	1163130	+	864	70
BSU_10840	AL009126.3	1163148	1164161	+	1014	102
BSU_10850	AL009126.3	1164370	1165398	+	1029	124
BSU_10860	AL009126.3	1165449	1165958	-	510	642
BSU_10870	AL009126.3	1166008	1166670	-	663	25
BSU_10880	AL009126.3	1166737	1168191	+	1455	37
BSU_10890	AL009126.3	1168199	1168837	-	639	89
BSU_10900	AL009126.3	1169043	1169849	+	807	260
BSU_10910	AL009126.3	1169877	1170476	-	600	90
BSU_10920	AL009126.3	1170473	1171642	-	1170	110
BSU_10930	AL009126.3	1171755	1172465	-	711	95
BSU_10940	AL009126.3	1172650	1173336	+	687	99
BSU_10950	AL009126.3	1173333	1174091	+	759	90
BSU_10960	AL009126.3	1174136	1174765	-	630	59
BSU_10970	AL009126.3	1174861	1175976	-	1116	961
BSU_10980	AL009126.3	1175985	1177253	-	1269	966
BSU_10990	AL009126.3	1177365	1178213	-	849	62
BSU_11000	AL009126.3	1178218	1178667	-	450	24
BSU_11010	AL009126.3	1178757	1180595	-	1839	52
BSU_11020	AL009126.3	1180909	1181400	-	492	110
BSU_11030	AL009126.3	1181499	1182395	+	897	350
BSU_11040	AL009126.3	1182448	1183032	-	585	61
BSU_11055	AL009126.3	1183029	1183958	-	930	4
BSU_11070	AL009126.3	1183943	1184479	-	537	0
BSU_11079	AL009126.3	1184657	1185004	+	348	89
BSU_11080	AL009126.3	1185001	1185588	+	588	123
BSU_11090	AL009126.3	1185608	1185901	+	294	97
BSU_11100	AL009126.3	1186037	1187653	+	1617	37
BSU_11110	AL009126.3	1187700	1188551	-	852	338
BSU_11120	AL009126.3	1188689	1189531	+	843	1289
BSU_11130	AL009126.3	1189646	1190005	+	360	249
BSU_11139	AL009126.3	1190036	1190233	-	198	492
BSU_11140	AL009126.3	1190490	1191302	-	813	731
BSU_11150	AL009126.3	1191423	1192190	+	768	159
BSU_11160	AL009126.3	1192254	1192562	+	309	265
BSU_11170	AL009126.3	1192858	1194288	+	1431	135
BSU_11180	AL009126.3	1194333	1194827	+	495	18
BSU_11190	AL009126.3	1195034	1196071	+	1038	5337
BSU_11200	AL009126.3	1196091	1197311	+	1221	12258
BSU_11210	AL009126.3	1197326	1198102	+	777	5235
BSU_11220	AL009126.3	1198099	1199256	+	1158	6148
BSU_11230	AL009126.3	1199327	1200388	+	1062	12020
BSU_11240	AL009126.3	1200381	1203473	+	3093	32231
BSU_11250	AL009126.3	1203461	1204420	+	960	26516
BSU_11260	AL009126.3	1204506	1204685	+	180	238
BSU_11270	AL009126.3	1204731	1204916	-	186	111
BSU_11280	AL009126.3	1205165	1205899	+	735	27
BSU_11290	AL009126.3	1205981	1206538	+	558	363
BSU_11300	AL009126.3	1206629	1207582	+	954	145
BSU_11310	AL009126.3	1207597	1207788	+	192	8
BSU_11320	AL009126.3	1207818	1208057	-	240	29
BSU_11330	AL009126.3	1208222	1209160	+	939	191
BSU_11340	AL009126.3	1209183	1210424	+	1242	437
BSU_11350	AL009126.3	1210500	1211285	+	786	133
BSU_11360	AL009126.3	1211477	1212463	+	987	2079
BSU_11370	AL009126.3	1212460	1213449	+	990	3384
BSU_11381	AL009126.3	1213537	1214001	+	465	1885
BSU_11382	AL009126.3	1214001	1215167	+	1167	5558
BSU_11390	AL009126.3	1215243	1216193	+	951	1568
BSU_11400	AL009126.3	1216210	1217121	+	912	2246
BSU_11410	AL009126.3	1217326	1218078	+	753	2966
BSU_11420	AL009126.3	1218113	1219105	-	993	205
BSU_11430	AL009126.3	1219849	1221486	+	1638	3003
BSU_11440	AL009126.3	1221594	1222529	+	936	114
BSU_11450	AL009126.3	1222533	1223450	+	918	164
BSU_11460	AL009126.3	1223455	1224531	+	1077	344
BSU_11470	AL009126.3	1224533	1225450	+	918	438
BSU_11480	AL009126.3	1225557	1226774	+	1218	37
BSU_11490	AL009126.3	1226938	1227516	+	579	1920
BSU_11500	AL009126.3	1227697	1228092	+	396	2041
BSU_11510	AL009126.3	1228135	1228791	-	657	308
BSU_11515	AL009126.3	1228961	1229101	+	141	568
BSU_11520	AL009126.3	1229068	1229724	+	657	1367
BSU_11525	AL009126.3	1229719	1229841	-	123	0
BSU_11530	AL009126.3	1229915	1231036	+	1122	44
BSU_11540	AL009126.3	1231083	1233095	+	2013	3296
BSU_11549	AL009126.3	1233133	1233300	-	168	149
BSU_11550	AL009126.3	1233614	1234513	-	900	139
BSU_11560	AL009126.3	1234510	1234908	-	399	127
BSU_11570	AL009126.3	1235163	1235708	-	546	90
BSU_11580	AL009126.3	1235912	1236484	-	573	47
BSU_11590	AL009126.3	1236609	1236977	+	369	82
BSU_11600	AL009126.3	1237006	1237641	+	636	199
BSU_11610	AL009126.3	1237660	1238460	+	801	208
BSU_11620	AL009126.3	1238523	1239374	+	852	177
BSU_11630	AL009126.3	1239387	1240121	-	735	73
BSU_11640	AL009126.3	1240356	1242200	+	1845	133
BSU_11650	AL009126.3	1242449	1243159	+	711	134
BSU_11660	AL009126.3	1243134	1243751	+	618	88
BSU_11670	AL009126.3	1243735	1244844	+	1110	122
BSU_11680	AL009126.3	1244844	1245044	+	201	75
BSU_11690	AL009126.3	1245041	1245811	+	771	99
BSU_11700	AL009126.3	1245808	1246818	+	1011	107
BSU_11710	AL009126.3	1246837	1247652	+	816	104
BSU_11720	AL009126.3	1247788	1248564	+	777	172
BSU_11730	AL009126.3	1248665	1249348	+	684	12902
BSU_11740	AL009126.3	1249442	1249888	-	447	153
BSU_11750	AL009126.3	1250016	1250504	-	489	195
BSU_11760	AL009126.3	1250656	1251174	-	519	183
BSU_11770	AL009126.3	1251273	1251590	-	318	68
BSU_11780	AL009126.3	1251631	1252017	-	387	155
BSU_11790	AL009126.3	1252177	1252533	+	357	156
BSU_11798	AL009126.3	1252558	1252791	-	234	3
BSU_11799	AL009126.3	1252815	1253021	+	207	7
BSU_11800	AL009126.3	1252858	1253073	+	216	2
BSU_11809	AL009126.3	1253103	1253252	+	150	3
BSU_11810	AL009126.3	1253385	1253639	+	255	76
BSU_11820	AL009126.3	1253713	1255992	-	2280	14
BSU_11839	AL009126.3	1256109	1256363	+	255	273
BSU_11840	AL009126.3	1256436	1256858	-	423	243
BSU_11850	AL009126.3	1256862	1257377	-	516	1025
BSU_11860	AL009126.3	1257414	1258136	-	723	887
BSU_11870	AL009126.3	1258492	1259613	+	1122	78
BSU_11880	AL009126.3	1259606	1260778	+	1173	59
BSU_11890	AL009126.3	1260811	1261356	-	546	351
BSU_11900	AL009126.3	1261426	1262616	-	1191	91
BSU_11910	AL009126.3	1263702	1264931	-	1230	11
BSU_11920	AL009126.3	1265057	1265377	+	321	62
BSU_11928	AL009126.3	1265530	1265661	+	132	5
BSU_11929	AL009126.3	1265677	1265850	+	174	5
BSU_11930	AL009126.3	1265887	1266348	+	462	31
BSU_11940	AL009126.3	1266614	1267117	+	504	16
BSU_11950	AL009126.3	1267129	1267413	+	285	16
BSU_11960	AL009126.3	1267574	1268101	+	528	4
BSU_11970	AL009126.3	1268275	1268592	+	318	34
BSU_11980	AL009126.3	1268829	1269584	+	756	92
BSU_11990	AL009126.3	1269733	1270080	-	348	126
BSU_12000	AL009126.3	1270631	1272577	+	1947	97
BSU_12010	AL009126.3	1272725	1274677	+	1953	36
BSU_12020	AL009126.3	1274692	1275639	+	948	13
BSU_12030	AL009126.3	1275809	1276291	+	483	31
BSU_12040	AL009126.3	1276337	1276843	-	507	737
BSU_12050	AL009126.3	1277062	1277457	-	396	1072
BSU_12060	AL009126.3	1277686	1278165	+	480	70
BSU_12069	AL009126.3	1278205	1278399	-	195	50
BSU_12070	AL009126.3	1278565	1278894	-	330	12
BSU_12080	AL009126.3	1279514	1280503	-	990	95
BSU_12090	AL009126.3	1280626	1280874	-	249	445
BSU_12100	AL009126.3	1281128	1282531	+	1404	100
BSU_12110	AL009126.3	1282571	1283044	-	474	895
BSU_12120	AL009126.3	1283169	1283336	-	168	68
BSU_12130	AL009126.3	1283463	1284362	+	900	10
BSU_12140	AL009126.3	1284371	1284769	-	399	44
BSU_12150	AL009126.3	1284870	1285445	-	576	12
BSU_12160	AL009126.3	1285591	1288548	+	2958	62
BSU_12170	AL009126.3	1288541	1289101	+	561	14
BSU_12180	AL009126.3	1289298	1289939	+	642	45
BSU_12190	AL009126.3	1290018	1290644	+	627	40
BSU_12200	AL009126.3	1290675	1290953	-	279	17
BSU_12210	AL009126.3	1291344	1292534	+	1191	83
BSU_12220	AL009126.3	1292557	1293735	+	1179	55
BSU_12229	AL009126.3	1293776	1293964	-	189	8
BSU_12230	AL009126.3	1294138	1294950	+	813	75
BSU_12240	AL009126.3	1294996	1295748	-	753	9
BSU_12250	AL009126.3	1295748	1296500	-	753	14
BSU_12260	AL009126.3	1296620	1297594	-	975	62
BSU_12270	AL009126.3	1297726	1298223	+	498	26
BSU_12280	AL009126.3	1298612	1299034	+	423	96
BSU_12290	AL009126.3	1299074	1300252	+	1179	311
BSU_12300	AL009126.3	1300450	1301871	+	1422	109
BSU_12310	AL009126.3	1301939	1303318	+	1380	41
BSU_12320	AL009126.3	1303423	1304436	+	1014	2777
BSU_12330	AL009126.3	1304442	1305461	+	1020	730
BSU_12340	AL009126.3	1305486	1306565	+	1080	672
BSU_12350	AL009126.3	1306562	1307398	+	837	292
BSU_12360	AL009126.3	1307446	1308714	+	1269	633
BSU_12370	AL009126.3	1308802	1309803	+	1002	332
BSU_12380	AL009126.3	1309880	1311322	+	1443	108
BSU_12390	AL009126.3	1311319	1312812	+	1494	145
BSU_12400	AL009126.3	1312851	1313615	-	765	38
BSU_12410	AL009126.3	1313840	1314304	-	465	19
BSU_12420	AL009126.3	1314453	1315724	+	1272	243
BSU_12430	AL009126.3	1315869	1317005	+	1137	14016
BSU_12440	AL009126.3	1316995	1317129	+	135	2541
BSU_12450	AL009126.3	1317157	1317414	-	258	15
BSU_12460	AL009126.3	1317535	1318488	+	954	104
BSU_12470	AL009126.3	1318528	1318905	-	378	6
BSU_12480	AL009126.3	1319011	1319613	+	603	8
BSU_12490	AL009126.3	1319690	1320526	+	837	24
BSU_12500	AL009126.3	1320570	1321166	-	597	8
BSU_12510	AL009126.3	1321329	1321670	-	342	88
BSU_12519	AL009126.3	1321848	1322027	+	180	0
BSU_12520	AL009126.3	1322014	1322850	+	837	0
BSU_12530	AL009126.3	1322750	1323550	+	801	3
BSU_12539	AL009126.3	1323550	1323717	+	168	0
BSU_12540	AL009126.3	1323802	1324152	+	351	18
BSU_12550	AL009126.3	1324149	1324355	+	207	8
BSU_12560	AL009126.3	1324471	1324980	+	510	1
BSU_12570	AL009126.3	1325096	1325893	+	798	9
BSU_12580	AL009126.3	1325890	1327191	+	1302	13
BSU_12590	AL009126.3	1327195	1328682	+	1488	24
BSU_12600	AL009126.3	1328702	1329529	+	828	28
BSU_12610	AL009126.3	1329555	1330490	+	936	8
BSU_12619	AL009126.3	1330512	1330895	+	384	2
BSU_12620	AL009126.3	1330892	1331248	+	357	2
BSU_12630	AL009126.3	1331245	1331730	+	486	15
BSU_12640	AL009126.3	1331743	1332183	+	441	4
BSU_12649	AL009126.3	1332187	1332405	+	219	4
BSU_12650	AL009126.3	1332402	1333802	+	1401	14
BSU_12660	AL009126.3	1333804	1334247	+	444	28
BSU_12671	AL009126.3	1334339	1334785	+	447	3
BSU_12672	AL009126.3	1334815	1334964	+	150	4
BSU_12680	AL009126.3	1334966	1338964	+	3999	84
BSU_12690	AL009126.3	1338957	1339616	+	660	13
BSU_12700	AL009126.3	1339632	1340609	+	978	12
BSU_12710	AL009126.3	1340609	1340875	+	267	2
BSU_12720	AL009126.3	1340932	1341357	+	426	2
BSU_12730	AL009126.3	1341350	1342396	+	1047	8
BSU_12740	AL009126.3	1342380	1342958	+	579	3
BSU_12749	AL009126.3	1342955	1343227	+	273	2
BSU_12750	AL009126.3	1343230	1345293	+	2064	113
BSU_12760	AL009126.3	1345305	1345634	+	330	5
BSU_12770	AL009126.3	1345631	1345795	+	165	0
BSU_12780	AL009126.3	1345839	1346678	+	840	1
BSU_12790	AL009126.3	1346731	1347000	+	270	22
BSU_12800	AL009126.3	1347013	1347276	+	264	9
BSU_12810	AL009126.3	1347289	1348182	+	894	19
BSU_12815	AL009126.3	1348219	1348356	-	138	16
BSU_12820	AL009126.3	1348442	1348612	-	171	112
BSU_12830	AL009126.3	1348612	1349358	-	747	543
BSU_12840	AL009126.3	1349468	1350469	-	1002	333
BSU_12850	AL009126.3	1350482	1351099	-	618	81
BSU_12860	AL009126.3	1351375	1352691	-	1317	16
BSU_12870	AL009126.3	1353080	1354030	+	951	302
BSU_12875	AL009126.3	1354131	1354277	+	147	1
BSU_12880	AL009126.3	1354285	1356435	+	2151	6
BSU_12890	AL009126.3	1356447	1357418	+	972	12
BSU_12900	AL009126.3	1357936	1359285	-	1350	326
BSU_12910	AL009126.3	1359454	1360272	+	819	79
BSU_12920	AL009126.3	1360401	1361225	+	825	756
BSU_12930	AL009126.3	1361242	1362168	+	927	911
BSU_12940	AL009126.3	1362174	1363136	+	963	1559
BSU_12950	AL009126.3	1363141	1364148	+	1008	4027
BSU_12960	AL009126.3	1364151	1365800	+	1650	7592
BSU_12970	AL009126.3	1365888	1366847	+	960	1790
BSU_12980	AL009126.3	1366844	1367944	+	1101	1102
BSU_12990	AL009126.3	1367941	1368831	+	891	1081
BSU_13000	AL009126.3	1368844	1369833	+	990	966
BSU_13010	AL009126.3	1369876	1370925	-	1050	298
BSU_13020	AL009126.3	1371015	1371875	-	861	124
BSU_13030	AL009126.3	1372035	1372553	+	519	88
BSU_13040	AL009126.3	1372792	1373991	+	1200	98
BSU_13050	AL009126.3	1374068	1374292	-	225	0
BSU_13060	AL009126.3	1374437	1375168	+	732	463
BSU_13070	AL009126.3	1375260	1375787	+	528	33
BSU_13080	AL009126.3	1375777	1376295	+	519	46
BSU_13090	AL009126.3	1376517	1376855	+	339	17
BSU_13100	AL009126.3	1376855	1377172	+	318	5
BSU_13110	AL009126.3	1377243	1378145	+	903	108
BSU_13120	AL009126.3	1378496	1379593	+	1098	311
BSU_13130	AL009126.3	1379605	1380852	+	1248	289
BSU_13140	AL009126.3	1380978	1381403	+	426	12
BSU_13150	AL009126.3	1381434	1381877	-	444	45
BSU_13160	AL009126.3	1382020	1382430	+	411	326
BSU_13169	AL009126.3	1382457	1382627	+	171	17
BSU_13170	AL009126.3	1382677	1383147	-	471	74
BSU_13180	AL009126.3	1383320	1385608	-	2289	44
BSU_13190	AL009126.3	1386024	1386983	-	960	1596
BSU_13200	AL009126.3	1387206	1388039	+	834	100
BSU_13210	AL009126.3	1388070	1388834	-	765	38
BSU_13220	AL009126.3	1388809	1390452	-	1644	31
BSU_13230	AL009126.3	1390439	1391038	-	600	6
BSU_13240	AL009126.3	1391040	1391642	-	603	25
BSU_13250	AL009126.3	1391953	1392639	+	687	54
BSU_13260	AL009126.3	1392643	1394007	+	1365	55
BSU_13270	AL009126.3	1394004	1394684	+	681	120
BSU_13280	AL009126.3	1394776	1395288	+	513	4354
BSU_13290	AL009126.3	1395371	1395508	+	138	277
BSU_13300	AL009126.3	1396013	1397368	+	1356	71
BSU_13310	AL009126.3	1397411	1397743	-	333	178
BSU_13320	AL009126.3	1397938	1398093	+	156	2
BSU_13330	AL009126.3	1398181	1398363	+	183	1
BSU_13340	AL009126.3	1398496	1398960	+	465	5534
BSU_13350	AL009126.3	1398975	1400096	-	1122	138
BSU_13360	AL009126.3	1400188	1400739	+	552	145
BSU_13370	AL009126.3	1400767	1401579	-	813	58
BSU_13380	AL009126.3	1401772	1403466	+	1695	496
BSU_13390	AL009126.3	1403479	1404492	+	1014	558
BSU_13400	AL009126.3	1404518	1406353	-	1836	331
BSU_13410	AL009126.3	1406357	1407292	-	936	134
BSU_13420	AL009126.3	1407329	1409731	-	2403	91
BSU_13430	AL009126.3	1409912	1410577	+	666	63
BSU_13440	AL009126.3	1410654	1411628	+	975	667
BSU_13450	AL009126.3	1411892	1412647	+	756	191
BSU_13460	AL009126.3	1412644	1413789	+	1146	131
BSU_13470	AL009126.3	1413800	1413994	-	195	345
BSU_13480	AL009126.3	1414125	1414826	-	702	49
BSU_13490	AL009126.3	1414997	1415893	+	897	974
BSU_13500	AL009126.3	1416067	1417416	+	1350	108
BSU_13509	AL009126.3	1417561	1417716	+	156	192
BSU_13510	AL009126.3	1417719	1417895	+	177	35
BSU_13520	AL009126.3	1417938	1418960	-	1023	228
BSU_13530	AL009126.3	1419213	1421429	+	2217	702
BSU_13540	AL009126.3	1421426	1421923	+	498	160
BSU_13545	AL009126.3	1422013	1422138	+	126	5
BSU_13550	AL009126.3	1422172	1423233	-	1062	5859
BSU_13560	AL009126.3	1423241	1424434	-	1194	3708
BSU_13570	AL009126.3	1424767	1425546	-	780	187
BSU_13580	AL009126.3	1425641	1426837	+	1197	196
BSU_13590	AL009126.3	1427061	1428278	+	1218	112
BSU_13600	AL009126.3	1428275	1428982	+	708	142
BSU_13610	AL009126.3	1428940	1429569	+	630	244
BSU_13620	AL009126.3	1429584	1430120	+	537	92
BSU_13630	AL009126.3	1430161	1430481	-	321	27
BSU_13640	AL009126.3	1430684	1430941	+	258	816
BSU_13650	AL009126.3	1431027	1431458	+	432	33
BSU_13660	AL009126.3	1431486	1433006	-	1521	602
BSU_13670	AL009126.3	1433199	1433636	+	438	93
BSU_13680	AL009126.3	1433676	1434461	-	786	147
BSU_13690	AL009126.3	1434433	1435245	-	813	60
BSU_13700	AL009126.3	1435628	1437727	-	2100	43
BSU_13710	AL009126.3	1438092	1439135	+	1044	290
BSU_13720	AL009126.3	1439448	1440107	+	660	1
BSU_13730	AL009126.3	1440100	1440549	+	450	6
BSU_13740	AL009126.3	1440542	1441273	+	732	7
BSU_13750	AL009126.3	1441291	1441788	+	498	30
BSU_13760	AL009126.3	1442347	1442703	-	357	34
BSU_13770	AL009126.3	1442872	1443618	+	747	36
BSU_13780	AL009126.3	1444099	1445298	+	1200	50
BSU_13789	AL009126.3	1445314	1445541	+	228	9
BSU_13790	AL009126.3	1445638	1446336	+	699	5
BSU_13799	AL009126.3	1446317	1446568	+	252	0
BSU_13800	AL009126.3	1447251	1447541	+	291	9
BSU_13810	AL009126.3	1447662	1447847	-	186	690
BSU_13819	AL009126.3	1448013	1448207	+	195	3
BSU_13820	AL009126.3	1448506	1449132	+	627	3
BSU_13830	AL009126.3	1449250	1450587	+	1338	333
BSU_13840	AL009126.3	1450638	1451135	+	498	679
BSU_13850	AL009126.3	1451371	1453284	+	1914	634
BSU_13860	AL009126.3	1453691	1454782	+	1092	141
BSU_13870	AL009126.3	1455064	1456029	+	966	51
BSU_13880	AL009126.3	1456092	1456958	+	867	114
BSU_13890	AL009126.3	1457187	1459286	+	2100	869
BSU_13900	AL009126.3	1459384	1459650	+	267	178
BSU_13910	AL009126.3	1459650	1461362	+	1713	750
BSU_13920	AL009126.3	1461453	1461692	+	240	44
BSU_13930	AL009126.3	1461770	1462798	+	1029	550
BSU_13940	AL009126.3	1462813	1463493	-	681	871
BSU_13950	AL009126.3	1463628	1465595	+	1968	180
BSU_13960	AL009126.3	1465733	1466599	+	867	127
BSU_13970	AL009126.3	1466638	1467411	-	774	85
BSU_13980	AL009126.3	1467748	1469862	+	2115	1437
BSU_13990	AL009126.3	1470026	1471846	+	1821	354
BSU_14000	AL009126.3	1471857	1473038	-	1182	4515
BSU_14009	AL009126.3	1473240	1473401	-	162	15
BSU_14010	AL009126.3	1473605	1474516	+	912	281
BSU_14020	AL009126.3	1474560	1475024	-	465	330
BSU_14030	AL009126.3	1475150	1476442	-	1293	287
BSU_14040	AL009126.3	1476518	1477012	-	495	63
BSU_14050	AL009126.3	1477069	1477929	-	861	40
BSU_14060	AL009126.3	1478072	1478836	+	765	1098
BSU_14071	AL009126.3	1479137	1480867	+	1731	1712
BSU_14072	AL009126.3	1480933	1481451	+	519	333
BSU_14080	AL009126.3	1481547	1482095	+	549	24
BSU_14090	AL009126.3	1482248	1483471	+	1224	112
BSU_14100	AL009126.3	1484117	1484356	+	240	131
BSU_14110	AL009126.3	1484466	1484984	+	519	747
BSU_14120	AL009126.3	1485118	1485315	+	198	2067
BSU_14130	AL009126.3	1485453	1485896	+	444	92
BSU_14140	AL009126.3	1486045	1486926	+	882	243
BSU_14150	AL009126.3	1487038	1487514	+	477	31
BSU_14160	AL009126.3	1487504	1488397	+	894	47
BSU_14170	AL009126.3	1488413	1488868	+	456	41
BSU_14180	AL009126.3	1488973	1489683	+	711	51
BSU_14190	AL009126.3	1489753	1490877	+	1125	74
BSU_14200	AL009126.3	1490939	1491184	+	246	1711
BSU_14210	AL009126.3	1491221	1492024	-	804	16
BSU_14220	AL009126.3	1492261	1492803	+	543	381
BSU_14230	AL009126.3	1492875	1493321	+	447	132
BSU_14240	AL009126.3	1493787	1494362	+	576	887
BSU_14250	AL009126.3	1494403	1495368	-	966	7025
BSU_14260	AL009126.3	1495505	1496104	+	600	27
BSU_14270	AL009126.3	1496155	1497174	+	1020	69
BSU_14280	AL009126.3	1497192	1498484	+	1293	103
BSU_14290	AL009126.3	1498445	1498966	+	522	58
BSU_14300	AL009126.3	1498966	1499439	+	474	55
BSU_14310	AL009126.3	1499432	1499665	+	234	18
BSU_14320	AL009126.3	1499889	1501646	+	1758	781
BSU_14330	AL009126.3	1501658	1503472	+	1815	732
BSU_14340	AL009126.3	1503582	1504277	+	696	1094
BSU_14350	AL009126.3	1504282	1505415	+	1134	410
BSU_14360	AL009126.3	1505416	1506108	+	693	179
BSU_14370	AL009126.3	1506105	1507298	+	1194	343
BSU_14380	AL009126.3	1507578	1508333	+	756	270
BSU_14390	AL009126.3	1508330	1509241	+	912	477
BSU_14400	AL009126.3	1509256	1511163	+	1908	451
BSU_14410	AL009126.3	1511308	1511889	+	582	140
BSU_14420	AL009126.3	1511923	1512192	-	270	21
BSU_14430	AL009126.3	1512373	1513995	+	1623	1261
BSU_14440	AL009126.3	1514052	1514963	+	912	292
BSU_14450	AL009126.3	1514997	1516229	-	1233	248
BSU_14460	AL009126.3	1516339	1516473	-	135	50
BSU_14470	AL009126.3	1516574	1517581	-	1008	32
BSU_14480	AL009126.3	1517865	1518143	+	279	548
BSU_14490	AL009126.3	1518333	1519619	+	1287	53
BSU_14500	AL009126.3	1519635	1520468	+	834	54
BSU_14510	AL009126.3	1520531	1521196	+	666	446
BSU_14520	AL009126.3	1521351	1523084	+	1734	79
BSU_14530	AL009126.3	1523118	1524785	-	1668	3224
BSU_14540	AL009126.3	1524791	1525000	-	210	339
BSU_14550	AL009126.3	1525386	1526159	+	774	157
BSU_14560	AL009126.3	1526195	1526749	-	555	117
BSU_14569	AL009126.3	1526859	1527017	-	159	3
BSU_14568	AL009126.3	1526924	1527067	-	144	3
BSU_14570	AL009126.3	1527231	1527902	+	672	54
BSU_14580	AL009126.3	1528326	1529441	+	1116	979
BSU_14590	AL009126.3	1529445	1530422	+	978	519
BSU_14600	AL009126.3	1530537	1531865	+	1329	1074
BSU_14610	AL009126.3	1531870	1533282	+	1413	561
BSU_14620	AL009126.3	1533327	1533701	-	375	11
BSU_14629	AL009126.3	1534120	1534239	+	120	2084
BSU_14630	AL009126.3	1534279	1535751	-	1473	197
BSU_14640	AL009126.3	1535936	1536202	+	267	91
BSU_14650	AL009126.3	1536235	1536873	-	639	144
BSU_14660	AL009126.3	1537113	1537301	+	189	54
BSU_14670	AL009126.3	1537441	1538238	+	798	164
BSU_14680	AL009126.3	1538264	1538692	+	429	47
BSU_14690	AL009126.3	1538770	1539684	-	915	159
BSU_14700	AL009126.3	1540036	1541601	-	1566	286
BSU_14710	AL009126.3	1541886	1543826	+	1941	37
BSU_14720	AL009126.3	1543816	1544085	+	270	4
BSU_14730	AL009126.3	1544085	1544606	+	522	57
BSU_14740	AL009126.3	1544603	1544896	+	294	36
BSU_14750	AL009126.3	1544936	1545547	-	612	8
BSU_14760	AL009126.3	1545820	1546008	-	189	256
BSU_14770	AL009126.3	1546121	1547959	+	1839	1483
BSU_14780	AL009126.3	1548016	1548333	+	318	201
BSU_14790	AL009126.3	1548389	1548598	-	210	38
BSU_14800	AL009126.3	1548681	1549310	-	630	1573
BSU_14810	AL009126.3	1549465	1550793	+	1329	5643
BSU_14820	AL009126.3	1550797	1551282	-	486	104
BSU_14830	AL009126.3	1551385	1552314	+	930	1109
BSU_14840	AL009126.3	1552412	1552693	+	282	1128
BSU_14850	AL009126.3	1552899	1554110	+	1212	541
BSU_14860	AL009126.3	1554185	1557631	+	3447	5386
BSU_14870	AL009126.3	1558034	1558954	-	921	103
BSU_14880	AL009126.3	1559309	1560226	+	918	618
BSU_14890	AL009126.3	1560466	1561536	+	1071	2249
BSU_14900	AL009126.3	1561569	1563437	+	1869	5558
BSU_14910	AL009126.3	1563437	1564060	+	624	2018
BSU_14920	AL009126.3	1564063	1564395	+	333	520
BSU_14930	AL009126.3	1564422	1565315	+	894	741
BSU_14940	AL009126.3	1565347	1565709	-	363	513
BSU_14950	AL009126.3	1565849	1566295	+	447	1156
BSU_14960	AL009126.3	1566379	1567419	+	1041	2229
BSU_14970	AL009126.3	1567651	1568049	+	399	29
BSU_14980	AL009126.3	1568065	1568304	+	240	9
BSU_14990	AL009126.3	1568420	1568869	+	450	112
BSU_15000	AL009126.3	1568924	1569196	+	273	17
BSU_15010	AL009126.3	1569519	1570073	+	555	105
BSU_15020	AL009126.3	1570078	1570563	+	486	55
BSU_15030	AL009126.3	1570574	1571800	-	1227	262
BSU_15040	AL009126.3	1571981	1572763	+	783	124
BSU_15050	AL009126.3	1572765	1573790	+	1026	459
BSU_15060	AL009126.3	1573807	1575054	-	1248	111
BSU_15069	AL009126.3	1575051	1575236	-	186	10
BSU_15070	AL009126.3	1575264	1575782	+	519	165
BSU_15080	AL009126.3	1575804	1575983	+	180	215
BSU_15090	AL009126.3	1576129	1576710	+	582	6879
